customer_key,customer_id,company_name,contact_name,contact_title,city,country
1,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany
2,ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Mexico City,Mexico
3,ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mexico City,Mexico
4,AROUT,Around the Horn,Thomas Hardy,Sales Representative,London,UK
5,BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Luleå,Sweden
6,BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Mannheim,Germany
7,BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,France
8,BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,Madrid,Spain
9,BONAP,Bon app',Laurence Lebihan,Owner,Marseille,France
10,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,Tsawassen,Canada
11,BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,London,UK
12,CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Buenos Aires,Argentina
13,CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico
14,CHOPS,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland
15,COMMI,Comércio Mineiro,Pedro Afonso,Sales Associate,Sao Paulo,Brazil
16,CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,London,UK
17,DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Aachen,Germany
18,DUMON,Du monde entier,Janine Labrune,Owner,Nantes,France
19,EASTC,Eastern Connection,Ann Devon,Sales Agent,London,UK
20,ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria
21,FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,Sao Paulo,Brazil
22,FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,Madrid,Spain
23,FOLIG,Folies gourmandes,Martine Rancé,Assistant Sales Agent,Lille,France
24,FOLKO,Folk och fä HB,Maria Larsson,Owner,Bräcke,Sweden
25,FRANK,Frankenversand,Peter Franken,Marketing Manager,München,Germany
26,FRANR,France restauration,Carine Schmitt,Marketing Manager,Nantes,France
27,FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Torino,Italy
28,FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Lisboa,Portugal
29,GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,Barcelona,Spain
30,GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,Sevilla,Spain
31,GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,Campinas,Brazil
32,GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,Eugene,USA
33,GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela
