order_key,order_id,product_key,customer_key,employee_key,shipper_key,order_date,required_date,shipped_date,shipping_timeline,unit_price,quantity,discount,sales_amount,total_order_freight,allocated_freight
1,10248,11,85,5,3,04/07/2013,01/08/2013,16/07/2013,Shipped Early,14,12,0,168,32.38,12.36
2,10248,42,85,5,3,04/07/2013,01/08/2013,16/07/2013,Shipped Early,9.8,10,0,98,32.38,7.21
3,10248,72,85,5,3,04/07/2013,01/08/2013,16/07/2013,Shipped Early,34.8,5,0,174,32.38,12.8
4,10249,14,79,6,1,05/07/2013,16/08/2013,10/07/2013,Shipped Early,18.6,9,0,167.4,11.61,1.04
5,10249,51,79,6,1,05/07/2013,16/08/2013,10/07/2013,Shipped Early,42.4,40,0,1696,11.61,10.57
6,10250,41,34,4,2,08/07/2013,05/08/2013,12/07/2013,Shipped Early,7.7,10,0,77,65.83,3.26
7,10250,51,34,4,2,08/07/2013,05/08/2013,12/07/2013,Shipped Early,42.4,35,0.15,1261.4,65.83,53.48
8,10250,65,34,4,2,08/07/2013,05/08/2013,12/07/2013,Shipped Early,16.8,15,0.15,214.2,65.83,9.08
9,10251,22,84,3,1,08/07/2013,05/08/2013,15/07/2013,Shipped Early,16.8,6,0.05,95.76,41.34,6.05
10,10251,57,84,3,1,08/07/2013,05/08/2013,15/07/2013,Shipped Early,15.6,15,0.05,222.3,41.34,14.05
11,10251,65,84,3,1,08/07/2013,05/08/2013,15/07/2013,Shipped Early,16.8,20,0,336,41.34,21.24
12,10252,20,76,4,2,09/07/2013,06/08/2013,11/07/2013,Shipped Early,64.8,40,0.05,2462.4,51.3,35.11
13,10252,33,76,4,2,09/07/2013,06/08/2013,11/07/2013,Shipped Early,2,25,0.05,47.5,51.3,0.68
14,10252,60,76,4,2,09/07/2013,06/08/2013,11/07/2013,Shipped Early,27.2,40,0,1088,51.3,15.51
15,10253,31,34,3,2,10/07/2013,24/07/2013,16/07/2013,Shipped Early,10,20,0,200,58.17,8.05
